Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
172,Dwight Howard\howardw01,C,32,CHO,3,3,33.0,5.7,9.0,.630,0.0,0.0,,5.7,9.0,.630,.630,1.3,6.3,.211,4.0,13.3,17.3,0.7,0.3,2.3,3.7,3.7,12.7
173,Josh Huestis\huestjo01,PF,26,OKC,3,0,6.0,0.3,0.7,.500,0.3,0.3,1.000,0.0,0.3,.000,.750,0.0,0.0,,0.3,1.3,1.7,0.3,0.3,0.7,0.3,0.7,1.0
174,Serge Ibaka\ibakase01,PF,28,TOR,3,3,24.7,5.0,10.0,.500,3.0,6.3,.474,2.0,3.7,.545,.650,1.0,1.3,.750,0.3,4.0,4.3,0.7,0.0,1.3,0.7,3.3,14.0
175,Andre Iguodala\iguodan01,SF,34,GSW,3,0,25.3,2.3,5.7,.412,0.3,2.3,.143,2.0,3.3,.600,.441,0.3,0.3,1.000,1.0,3.7,4.7,3.0,0.7,0.3,0.7,1.7,5.3
176,Ersan Ilyasova\ilyaser01,PF,30,ATL,3,3,22.7,1.7,6.0,.278,0.3,3.0,.111,1.3,3.0,.444,.306,1.3,1.3,1.000,1.7,4.7,6.3,0.3,1.3,0.3,0.3,4.3,5.0
177,Joe Ingles\inglejo01,SF,30,UTA,3,3,31.3,5.3,8.7,.615,4.0,6.3,.632,1.3,2.3,.571,.846,0.0,0.0,,0.0,3.7,3.7,3.7,2.0,0.3,1.3,2.7,14.7
178,Brandon Ingram\ingrabr01,SF,20,LAL,3,3,30.7,5.0,12.7,.395,1.0,2.0,.500,4.0,10.7,.375,.434,3.7,5.0,.733,0.0,3.0,3.0,3.0,0.3,0.3,1.3,4.0,14.7
179,Kyrie Irving\irvinky01,PG,25,BOS,3,3,38.0,7.3,19.7,.373,2.3,6.7,.350,5.0,13.0,.385,.432,3.0,3.7,.818,1.7,3.0,4.7,5.7,2.7,0.0,3.3,3.0,20.0
180,Jonathan Isaac\isaacjo01,PF,20,ORL,3,2,20.3,2.7,4.7,.571,0.7,1.7,.400,2.0,3.0,.667,.643,0.0,0.0,,1.3,3.7,5.0,1.0,1.0,1.0,1.7,3.3,6.0
181,Wesley Iwundu\iwundwe01,F,23,ORL,1,0,5.0,0.0,3.0,.000,0.0,0.0,,0.0,3.0,.000,.000,1.0,2.0,.500,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0
182,Demetrius Jackson\jacksde01,PG,23,HOU,3,0,10.3,0.7,2.3,.286,0.0,1.3,.000,0.7,1.0,.667,.286,0.0,0.0,,0.7,2.0,2.7,1.3,0.7,0.3,1.7,1.3,1.3
183,Josh Jackson\jacksjo02,SF,20,PHO,4,3,27.0,4.3,9.5,.447,1.5,3.5,.429,2.8,6.0,.458,.526,2.5,4.8,.526,0.0,2.0,2.0,0.8,1.8,0.0,1.5,2.5,12.5
184,Justin Jackson\jacksju01,SF,22,SAC,4,4,18.5,2.3,5.0,.450,0.8,2.3,.333,1.5,2.8,.545,.525,0.3,0.3,1.000,0.8,1.3,2.0,0.0,0.0,0.0,1.0,1.0,5.5
185,Reggie Jackson\jacksre01,PG,27,DET,4,4,29.0,6.0,15.0,.400,1.0,4.3,.235,5.0,10.8,.465,.433,3.5,3.8,.933,1.0,3.5,4.5,6.8,1.5,0.0,2.0,3.5,16.5
